score	review
-4	 worse place ever eaten,,cold food,,dirty looking staff,landlord big headed,and you better not complain about anything,, and the worse john smiths iv ever tasted at top price too. decor way out of date,,A PUB ON ITS LAST LEGS.searching for scraps,,dont be one 
-4	 Went last Friday with a friend with the intention to dine, however after the excessive unpleasant attitude and rudeness from one of the waitresses, completely unwarranted, we walked out before ordering after notifying the Manageress who apologised and recommended we eat in the bar instead as we refused to stay in the restaurant.. The bar staff on the otherhand were really helpful and friendly before we entered the restaurant and after. However after drinks, due in part to the previous experence we went elsewhere to eat. 
-4	 My husband and I ordered a delivery at 6:45 arrived at 8pm without my meal.  I called immediately and told them my food was missing.  The gentleman told my husband that the driver had a few more deliveries and would then go back to collect and deliver.  I took over the call and said that wasn't good enough and we ordered our meal together as we wanted to eat together.  The man on the phone didn't care so I insisted on speaking to the manager he was full of excuses and in ordinary circumstances I'd accept that however... This is not the first time, granted it's been over a year but once delivery was almost 2hrs and prior to this they forgot my food. Against my better judgment we ordered again from here.  After a chat with the manager he agreed to deliver by 8:15pm (my bad I should have specified I wanted it today!)  As a &quot;goodwill gesture&quot; the manager is sending a bottle of coke (that I dont drink),  I don't advise going to this take away!! 
-4	 When a chef won't eat in her own restaurant what does that say?  Our visit on 6th December was a disaster. When we arrived they told us there might be a delay as everyone was booked in for the same time!  I ordered sparkling water to drink. It was from a large bottle as they had no small bottles. It had been open for about a week I think as the sparkle had certainly left. I ordered a curry and again was warned there would be a wait. There was indeed, we waited 1 hour 45 minutes and when it came it was inedible. The sauce was like water and so spiced it had no flavour just heat. We were told they had had a run on curry so the chef had made some more and that was why it was so tasteless. Another customer had been told that the chef doesn't eat curry so she didn't know how much spice to use! We were not charged for this curry and the bar staff were very nice. I don't know how they could stay so cheerful in the circumstances.  The place was freezing and very dingy. Desperately in need of some tlc. Will definitely never visit this place again. 
-4	 We visited here for a business networking event. There were approximately 25 of us who booked 2 weeks in advance.  The restaurant wished to provide us with a set menu to simplify the orders, this was no issue until it came to the delivery of the service.  We were booked for 7:45, we were quickly seated, however we were split over two tables. Not an issue in itself, however the staff decided to treat the two tables as two different parties and refused to deal with the second table until they had served the first.  It took 50 mins for them to take a drinks order and provide 1 poddadum to each attendee. It was over and hour and a half before we got a main course, even then it took a long time for all dishes to be served and the curry had gone cold before they served rice.  Trying to order a drink was a joke.   Many of us complained to the staff, but they were completely indifferent. If this hadn't have been a business meeting then I would have walked out.  The food was nice, but the service was so bad I would never go back here or tell anyone else to try it. 
-4	First time going there for a meal. what a disappointing meal this was.  They don't even bring any cutlery sauces etc over to you, we had to go over ourselves. Get better service at a bloody Hungry Horse.  We ordered a starter- which we didnt even get  Our mains came out first - we both ordered a burger, which was passable untill i noticed the horrific bacon that was just slapped onto the top... the bacon was disgusting, i wouldnt of even fed this to my dog. It was cold, uncooked, and fat was all over it.  I bet they wouldnt eat it themsevles so why should i eat it? It was very expensive meal for what we got and i was very very disappointed. I eat out quite regulary and ive had better service, and food at cheaper places. I did let the staff know i wasnt happy with the bacon and he seemed very uninterested... if this was me, due to working in a customer service environment id be making sure the customer got an apology for the meal. Nothing was said and he took our dishes from us when he bought the dessert out. So we where sat outside for ages with our old dishes .. Poor poor poor service. I had to ask for them to take off the starter from my bill because we hadnt even received it.  It still came to about 50.00... i thought it was a total ripoff.  I had sent them an email of complaint this morning but havent heard back so this is why i am writing on here because maybe they will take me a bit more seriously.
-4	 went to eat here today after reading the 'all year round' sign. Actually they are closed for the next month! 
-4	 This was the fourth time we had eaten here, the previous 3 were excellent but this one was poor at best. The waiter was lacking in every department and all the food tasted of nothing but chilli powder.  We got the impression that the place had been taken over by new management who were not really interested in providing a good dining experience. 
-4	 Arrived and had to.wait 15 minutes to be seated. We were asked if we were ready to order before we had even sat down! When food came, our daughters came out first but timber peas were still frozen. Me and my partner then had to.wait an additional half an hour for our food! My partner instantly sent his back as his steak was over cooked, peas were raw, onion rings were burnt and chips had been refried. My partner is a chef himself and after paying £20 for just his own meal and upgrades we expect perfect quality. When we complained to a manager, she shrugged it off and said nothing.was wrong at all with the food and it was checked. She didn't even apologise and said we should be grateful they replaced the meal. Avoid like the chuffin plague. 
-4	 have been twice as part of a party - they pack you in. I went as part of a party thesecond time having been ill the first, and did not eat much, but threww up again 
-4	 Hadn't been here for some months and what a disappointment.  First of all wrong meals were delivered. Then, presumably as three meals had to be reissued, the other two meals were put under the hot light. This resulted in the sandwich being 'toasted' on the top, The cheese and bacon jacket was tasteless and dry - again presumably as it had to wait for the other three meals to arrive. These were then obviously rushed through as all jacket potatoes were almost raw.  Pleasant waiter who offered his apologies (which could only just be heard above the screaming of the children at a nearby table). 
-4	 Very poor experience celebrating my brother inlaws birthday the quality of food wasn't good and the way it was served didn't help just no attention paid. Although it was just a buffet the quality of food and service was dreadful. Certainly wouldn't ever go back there to eat again! 
-4	I could not believe this restaurant had so many good reviews. There is nothing authentic or Italian about this place. First, there were three of us. We asked to be seated at a table, but were squeezed into a booth for two despite the fact that the restaurant was empty. Presumably this was to make the place look full to passers by. Although our daughter's pasta dish was passable, the &quot;lamb in rosemary&quot; was almost inedible and consisted of fatty and gristly lamb steaks with bone in, badly flash fried so that what we asked for to be medium rare varied from raw to partially raw, and then smothered in a glutinous brown sauce which may or not have been gravy with a few pieces of dried rosemary arranged on the top. I was expecting a luscious Tuscan-type stew, bursting with flavours of rosemary and garlic. What I got was revolting and at over £30 per head, I couldn't even excuse it for being cheap.
-4	a starter of crisps with a little bit of melted cheese on it. The menu said that it was with onions but I expected small pieces of potatoes. The pizza was supposed to have cheese edges it did have puffed up pizza but no cheese in it.A disgusting meal.
-4	 The service is horrible and moreover any of the &quot;acting&quot; managers have the worst customer experience ever! I was there with my sister and boyfriend and the food did not come up together and it was also wrong! The JIUCY burger was tough as old boots and when we point out that it was not a good service and poor food. After complaining we that we were offered a free round of drinks for a bill that was over £100, and told if we can't afford to eat in a VIP area we should go somewhere else, if I was you reading this I would head to Byron that is opening next door.....REPEAT NEVER EVER EAT HERE.... IT'S THE WORST PLACE I HAVE EATEN and I've been to some bad places... 
-4	 I have just got home from visiting this restaurant and have to say I am disgusted, I have never writen a review as soon as I come home but I must say this place is far to expensive for the bland tasting food but what has repulsed me the most that my partner witnessed, a table slightly behind me so I did not see what happened but the table were being served deserts and the waitress had a bowl of ice cream in her hand in which a fly had landed on, my partner said that she took a moment and clearly was thinking what to do but what she decided to do was to blow the fly away and served that same bowl of ice cream to the unsuspecting customer, unfortunately the staff do not wear name tags but she was about 20 years old, blonde with a tattoo of a bike on her back, this girl should not be in the food industry if she makes decisions like that, cos we all know that fly's wonder on turds. Oh and the floor in the restaurant was filthy. Would never go back. 
-4	 I went to the take away part of this place today and the only thing worse than the food was the service. I was served by a young lady who was abrupt and quite frankly looked like she should be on suicide watch. I appreciate that nobody wants to work new years day but there is no need for bad customer service. I only ordered chips and gravy and somehow they managed to stretch this out to a 5 minute wait. When I got my food home I discovered that the gravy was inedible. I could only describe it as looking like pond water. Unfortunately, I cannot comment on its taste as i had to pour it down the sink. It is safe to say that I will not be visiting again. 
-4	 The good bit - of course the views are great, the bar is lovely, great atmosphere and cocktails    The bad - probably the worst meal that I have ever eaten in a London restaurant - AVOID - stop in for a cocktail and head on to one of the many many many amazing restaurants in this city. This is a restaurant where they know they will be fully booked due to location and it feels like they have made no effort with the food ... 
-4	 Went for lunch with friends not all of us wanted a carvery but there isn't a great choice of anything else. I got a cheese sandwiche which was 3/4 pickle 1/4 dried up cheese on stale bread with a few roast potatoes thrown on the plate. Roast potatoes why??? Put chips or salad but roast potatoes? It's not my first visit I keep giving it a chance but it is my last. It needs to improve the food choice and quality and have a deep clean pronto! 
-4	 I visited this restaurant this evening at about 7.30 there where 5 of us , as we entered staff where friendly and we was seated quickly .once seated we all got up to get our food to be fair there was a good variety so we all tucked in !!! One of our party went up for seconds and on her plate she had steamed vegetables which contained broccoli after tucking in she said what is this is this a MAGGOT !!!! I had a look it wasn't one there was loads of them the broccoli was full of them !!!! The manager came over and his reply to this was sorry I will take one meal off !!!! He did t look surprised or phased at all !!!!!! I wouldn't allow him to take the plate , he then proceeded to storm off to get my refund ! As a employ of a restaurant chain I'm absolutely disgusted and will be passing on all photos to the local authorities in the morning !!! Do not eat here this is diabolical for a restaurant to say the least !!!!! 
-4	Booked room for New Years eve . With a dinner and dance . Rang to say that my booking was no longer available had email confirmation. Whilst I was upset the way the co-owner of the hotel spoke to me made matters worse blaming booking.com which they kindly sent me proof they were not at fault. Decided to cancel the whole lot with the treatment I received.
-4	 We had stayed previously but not had dinner. The breakfast was great and on that basis, and a look at the dinner menu, we decided to invite friends on our next visit to Stroud. This is a very interesting converted old convent which puts on intimate jazz and folk concerts on many evenings and there was a concert starting at 9pm on the evening we booked. We were the second party to arrive at 7pm and from then on it was downhill all the way. When ordering the waiter told us that one item was no longer on the menu (instead of telling us when he gave us the menus). The wine list is odd with prices bearing no relationship to the quality of the wine. We chose a Gewurtstraminer and a Bordeaux 2009 Cru Bourgeois. After an hour and a half during which time the restaurant filled up with concert goers, and we ploughed through the Gewurtstraminer, the starters arrived. They were paltry (5 prawns on a tablespoon of tomato concasse with a small amount of feta, one spray of roasted broccoli which was hard and charred with a sprinkling of nuts, goujons of lamb (actually two small croquettes tasting vaguely of leftover roasted lamb), bean and chickpea soup which was lukewarm beans in tomato something) and all amazingly expensive for what they were (£8-£9.50). After another delay (by which time the restaurant had mostly emptied) the mains arrived and we poured out the Bordeaux which we had not been invited to taste. Describing the mains would only remind me of an experience which I would prefer to forget. Suffice it to say that this chef MUST BE ON AN INCREDIBLY TIGHT BUDGET. Only then did we notice that the Bordeaux was a 2011 rather than the generally much more expensive 2009 which we had ordered. We decided against desserts, coffee etc. As we left, smarting from the exorbitant bill, the waiter apologised for the delay saying that the chef decided to deal with the concert goers first so that they could get out in time. And as we had sat there watching our fellow diners we thought their pizzas and burgers looked pretty good. But this is not a place to dine out. 
-4	Had the misfortune of visiting Whitmore Tearooms twice recently (I had to attend on the second occasion as a guest of a friend). On both occasions, the service was genuinely abysmal; having to wait endlessly for our food. Furthermore, the waitress did her best to avoid our table and eye-contact, and only chased the missing dishes (only an English breakfast and an omelette) after an hour. This was especially irritating as there were more staff than customers! The food is also rather overpriced and our drinks were cold by the time the food came. No apologies or offers of a fresh cup of tea. Another example of customers being taken for granted. Won't be returning.
